key,categorie,sujet,trigger,volume,push,statut,etape
one_review_deleted,Order,"Your additional review has been deleted!",Review supprimée (report brand),120,?,en_prod,review_expiree
new_personalized_affiliate_link,Order,Your exclusive affiliate link inside!,Lien affiliate envoyé par la marque,163,?,en_prod,communication
last_review_deleted,Order,"Modify Your Review, Pretty Please!",1ère review supprimée (report brand),200,?,en_prod,review_expiree
approved_after_pending,Order,We successfully fixed your shipping issue!,Problème livraison résolu,277,?,en_prod,expedition
review_ftc_status_failed,Order,Almost there! Your review need some adjustment,Contrôle FTC échoué,300,?,en_prod,review
social review_not_reposted_for_creator,Order,It's been 5 days...,Review non repostée sous 5j,450,?,en_prod,review_expiree
review_ftc_status_success,Order,Your review has been accepted!,Contrôle FTC OK,629,?,en_prod,review
one_review_removed_for_creator,Order,Your additional review has been deleted!,Review retirée avant 30j,642,?,en_prod,review_expiree
reviewed,Order,Your campaign is complete!,Toutes les reviews faites,695,?,en_prod,review
last_review_removed_for_creator,Order,Where'd your review go?,Dernière review retirée avant 30j,1300,?,en_prod,review_expiree
campaign_reviewable_for_creator,Order,Review publication opening,Campagne ouverte pour review,1650,?,en_prod,campagne
new_promo_code,Order,"Sharing is caring. Ton code promo...",Code promo envoyé par la marque,3700,?,en_prod,communication
reminder_two_for_creator_consumer,Order,[Brand] Is Dying To See Your Review!,Rappel J-1 (Consumer),23700,Oui,en_prod,rappels
expired_for_creator,Order,Your credit expired but don't worry...,Commande expirée,27800,?,en_prod,review_expiree
reminder_five_for_creator_consumer,Order,Time's almost up! 3 days left...,Rappel J-3 (Consumer),42000,Oui,en_prod,rappels
reminder_one_for_creator_consumer,Order,How's That Review Coming Along?,Rappel J-7 (Consumer),67800,Oui,en_prod,rappels
reminder_two_for_creator,Order,[Brand] Is Dying To See Your Review!,Rappel J-1 (Social),52200,Oui,en_prod,rappels
reminder_one_for_creator,Order,How's That Review Coming Along?,Rappel J-10/J-14 (Social),94200,Oui,en_prod,rappels
review_created,Order,Your Review Is 🔥,Review publiée,143800,?,en_prod,review
approved (Social),Order,"Get. Excited. Your Product(s) Are On The Way!",Commande acceptée (social),144600,?,en_prod,candidature
approved_for_creator_consumer,Order,Yay! Your product order is confirmed!,Commande acceptée (consumer),174300,?,en_prod,candidature
declined (order social),Order,Can We Interest You In Something Else?,Commande refusée par la marque,177600,?,en_prod,candidature
review_created_consumer,Order,We love your review!,Review publiée (consumer),224200,?,en_prod,review
shipped (view_created),Order,"Ship, Ship... Hooray!",Produit expédié,325500,?,en_prod,expedition
canceled_before_ship_no_response_from_store,Order,DKNY didn't answer to your request,Marque n'a pas répondu,116400,?,en_prod,expedition
canceled_before_ship_out_of_stock,Order,Can We Interest You In Something Else?,Rupture de stock,354100,?,en_prod,expedition
canceled_after_pending,Order,"We Hate To Break This To You...",Problème livraison annulé,9200,?,en_prod,expedition
confirm_youtube_account_reminder,Onboarding,Confirm your YouTube account...,YouTube non confirmé,1250,?,en_prod,connexion
platform_account_refused_awaiting_content_check,Onboarding,Your social account didn't pass Content check,Échec content check,1850,?,en_prod,connexion
platform_account_refused_awaiting_quality_check,Onboarding,didn't pass Skeepers Quality Check,Échec quality check,5400,?,en_prod,connexion
email_confirmation_reminder,Onboarding,You're almost done! Finish your Skeepers Sign Up!,Email non confirmé,6000,?,en_prod,signup
platform_account_refused_awaiting_quantity_check,Onboarding,We reviewed your account... Quantity Check,Échec quantity check,35700,?,en_prod,connexion
platform_account_refused_awaiting_manual_check,Onboarding,didn't pass Editorial Check,Échec editorial check,37200,?,en_prod,connexion
